2024-11-13T13:08:19.882015 - ADD: Added: Bruce Schneier, 12345
2024-11-13T13:08:19.897549 - DELETE: Deleted by phone number and person: 12345,Bruce Schneier
2024-11-13T13:08:20.213500 - ADD: Added: Bruce Schneier, (703)111-2121
2024-11-13T13:08:20.230026 - DELETE: Deleted by phone number and person: (703)111-2121,Bruce Schneier
2024-11-13T13:08:20.538422 - ADD: Added: Bruce Schneier, 123-1234
2024-11-13T13:08:20.545914 - DELETE: Deleted by phone number and person: 123-1234,Bruce Schneier
2024-11-13T13:08:21.641168 - ADD: Added: Bruce Schneier, 1(703)123-1234
2024-11-13T13:08:21.648352 - DELETE: Deleted by phone number and person: 1(703)123-1234,Bruce Schneier
2024-11-13T13:08:22.018534 - ADD: Added: Bruce Schneier, 011 701 111 1234
2024-11-13T13:08:22.036204 - DELETE: Deleted by phone number and person: 011 701 111 1234,Bruce Schneier
2024-11-13T13:08:22.375891 - ADD: Added: Bruce Schneier, 12345.12345
2024-11-13T13:08:22.391789 - DELETE: Deleted by phone number and person: 12345.12345,Bruce Schneier
2024-11-13T13:08:22.700438 - ADD: Added: Bruce Schneier, 011 1 703 111 1234
2024-11-13T13:08:22.716984 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Bruce Schneier
2024-11-13T13:08:23.024848 - ADD: Added: Bruce Schneier, 22.22.22.22
2024-11-13T13:08:23.040542 - DELETE: Deleted by phone number and person: 22.22.22.22,Bruce Schneier
2024-11-13T13:08:23.363065 - ADD: Added: Bruce Schneier, 2222.2222
2024-11-13T13:08:23.379029 - DELETE: Deleted by phone number and person: 2222.2222,Bruce Schneier
2024-11-13T13:08:23.690076 - ADD: Added: Bruce Schneier, 111 111 1111
2024-11-13T13:08:23.706111 - DELETE: Deleted by phone number and person: 111 111 1111,Bruce Schneier
2024-11-13T13:08:24.022821 - ADD: Added: Bruce Schneier, (670)123-4567
2024-11-13T13:08:24.038601 - DELETE: Deleted by phone number and person: (670)123-4567,Bruce Schneier
2024-11-13T13:08:24.362015 - ADD: Added: Bruce Schneier, 670-123-4567
2024-11-13T13:08:24.362015 - DELETE: Deleted by phone number and person: 670-123-4567,Bruce Schneier
2024-11-13T13:08:24.698718 - ADD: Added: Bruce Schneier, 1-670-123-4567
2024-11-13T13:08:24.726565 - DELETE: Deleted by phone number and person: 1-670-123-4567,Bruce Schneier
2024-11-13T13:08:25.074938 - ADD: Added: Bruce Schneier, 1(670)123-4567
2024-11-13T13:08:25.090660 - DELETE: Deleted by phone number and person: 1(670)123-4567,Bruce Schneier
2024-11-13T13:08:25.401653 - ADD: Added: Bruce Schneier, 670 123 4567
2024-11-13T13:08:25.417647 - DELETE: Deleted by phone number and person: 670 123 4567,Bruce Schneier
2024-11-13T13:08:25.731752 - ADD: Added: Bruce Schneier, 670.123.4567
2024-11-13T13:08:25.747817 - DELETE: Deleted by phone number and person: 670.123.4567,Bruce Schneier
2024-11-13T13:08:26.056938 - ADD: Added: Bruce Schneier, 1 670 123 4567
2024-11-13T13:08:26.066446 - DELETE: Deleted by phone number and person: 1 670 123 4567,Bruce Schneier
2024-11-13T13:08:26.381512 - ADD: Added: Bruce Schneier, 1.670.123.4567
2024-11-13T13:08:26.389971 - DELETE: Deleted by phone number and person: 1.670.123.4567,Bruce Schneier
2024-11-13T13:30:05.920613 - Denied due to name: Denied these input: <script>alert("XSS")</script>,  1234 (201) 123-1234
2024-11-13T13:30:06.222631 - Denied due to name: Denied these input: <script>alert("XSS")</script>, (001) 123-1234
2024-11-13T13:30:06.531926 - Denied due to name: Denied these input: <script>alert("XSS")</script>,  01 (703) 123-1234
2024-11-13T13:30:06.810363 - Denied due to name: Denied these input: <script>alert("XSS")</script>, (703) 123-1234 ext 204
2024-11-13T13:30:07.088929 - Denied due to name: Denied these input: <script>alert("XSS")</script>, select * from users;
2024-11-13T13:30:07.356313 - Denied due to name: Denied these input: Brad Everett Samuel Smith, 123
2024-11-13T13:30:07.645423 - Denied due to name: Denied these input: Brad Everett Samuel Smith, 1/703/123/1234
2024-11-13T13:30:07.939535 - Denied due to name: Denied these input: Brad Everett Samuel Smith, Nr 102-123-1234
2024-11-13T13:30:08.217397 - Denied due to name: Denied these input: Brad Everett Samuel Smith, <script>alert("XSS")</script>
2024-11-13T13:30:08.463042 - Denied due to name: Denied these input: Brad Everett Samuel Smith, 7031111234
2024-11-13T13:30:08.693863 - Denied due to name: Denied these input: Brad Everett Samuel Smith,  1234 (201) 123-1234
2024-11-13T13:30:08.951565 - Denied due to name: Denied these input: Brad Everett Samuel Smith, (001) 123-1234
2024-11-13T13:30:09.214996 - Denied due to name: Denied these input: Brad Everett Samuel Smith,  01 (703) 123-1234
2024-11-13T13:30:09.446041 - Denied due to name: Denied these input: Brad Everett Samuel Smith, (703) 123-1234 ext 204
2024-11-13T13:30:09.679868 - Denied due to name: Denied these input: Brad Everett Samuel Smith, select * from users;
2024-11-13T13:30:09.916803 - Denied due to name: Denied these input: select * from users;, 123
2024-11-13T13:30:10.150137 - Denied due to name: Denied these input: select * from users;, 1/703/123/1234
2024-11-13T13:30:10.376006 - Denied due to name: Denied these input: select * from users;, Nr 102-123-1234
2024-11-13T13:30:10.620724 - Denied due to name: Denied these input: select * from users;, <script>alert("XSS")</script>
2024-11-13T13:30:10.866659 - Denied due to name: Denied these input: select * from users;, 7031111234
2024-11-13T13:30:11.097169 - Denied due to name: Denied these input: select * from users;,  1234 (201) 123-1234
2024-11-13T13:30:11.342998 - Denied due to name: Denied these input: select * from users;, (001) 123-1234
2024-11-13T13:30:11.573710 - Denied due to name: Denied these input: select * from users;,  01 (703) 123-1234
2024-11-13T13:30:11.821021 - Denied due to name: Denied these input: select * from users;, (703) 123-1234 ext 204
2024-11-13T13:30:12.067137 - Denied due to name: Denied these input: select * from users;, select * from users;
2024-11-13T13:30:12.302649 - Denied due to name: Denied these input: <script>alert("XSS")</script>, 123
2024-11-13T13:30:12.530972 - Denied due to name: Denied these input: <script>alert("XSS")</script>, 1/703/123/1234
2024-11-13T13:30:12.761810 - Denied due to name: Denied these input: <script>alert("XSS")</script>, Nr 102-123-1234
2024-11-13T13:30:12.990468 - Denied due to name: Denied these input: <script>alert("XSS")</script>, <script>alert("XSS")</script>
2024-11-13T13:30:13.235990 - Denied due to name: Denied these input: <script>alert("XSS")</script>, 7031111234
2024-11-13T13:30:13.465674 - Denied due to name: Denied these input: <script>alert("XSS")</script>,  1234 (201) 123-1234
2024-11-13T13:30:13.698758 - Denied due to name: Denied these input: <script>alert("XSS")</script>, (001) 123-1234
2024-11-13T13:30:13.931007 - Denied due to name: Denied these input: <script>alert("XSS")</script>,  01 (703) 123-1234
2024-11-13T13:30:14.163597 - Denied due to name: Denied these input: <script>alert("XSS")</script>, (703) 123-1234 ext 204
2024-11-13T13:30:14.410258 - Denied due to name: Denied these input: <script>alert("XSS")</script>, select * from users;
2024-11-13T13:30:14.653989 - ADD: Added: Bruce Schneier, 123-4567
2024-11-13T13:30:14.670110 - DELETE: Deleted by name: Bruce Schneier,+1(703)111-2121
2024-11-13T13:30:14.919448 - ADD: Added: Schneier, Bruce, 123-4567
2024-11-13T13:30:14.933155 - DELETE: Deleted by name: Schneier, Bruce,123-4567
2024-11-13T13:30:15.178283 - ADD: Added: Schneier, Bruce Wayne, 123-4567
2024-11-13T13:30:15.193971 - DELETE: Deleted by name: Schneier, Bruce Wayne,123-4567
2024-11-13T13:30:15.454951 - ADD: Added: O’Malley, John F., 123-4567
2024-11-13T13:30:15.465163 - DELETE: Deleted by name: O’Malley, John F.,123-4567
2024-11-13T13:30:15.724721 - ADD: Added: John O’Malley-Smith, 123-4567
2024-11-13T13:30:15.734744 - DELETE: Deleted by name: John O’Malley-Smith,123-4567
2024-11-13T13:30:15.982692 - ADD: Added: Cher, 123-4567
2024-11-13T13:30:15.999163 - DELETE: Deleted by name: Cher,123-4567
2024-11-13T13:30:17.926807 - ADD: Added: John Doe, 12345
2024-11-13T13:30:17.946923 - DELETE: Deleted by phone number and person: 12345,John Doe
2024-11-13T13:30:18.197068 - ADD: Added: John Doe, (703)111-2121
2024-11-13T13:30:18.212203 - DELETE: Deleted by phone number and person: (703)111-2121,John Doe
2024-11-13T13:30:18.482463 - ADD: Added: John Doe, 123-1234
2024-11-13T13:30:18.500755 - DELETE: Deleted by phone number and person: 123-1234,John Doe
2024-11-13T13:30:18.748975 - Denied due to number: Denied these input: John Doe,  1(703)111-2121
2024-11-13T13:30:18.982505 - Denied due to number: Denied these input: John Doe,  32 (21) 212-2324
2024-11-13T13:30:19.229437 - ADD: Added: John Doe, 1(703)123-1234
2024-11-13T13:30:19.245063 - DELETE: Deleted by phone number and person: 1(703)123-1234,John Doe
2024-11-13T13:30:19.517075 - ADD: Added: John Doe, 011 701 111 1234
2024-11-13T13:30:19.529340 - DELETE: Deleted by phone number and person: 011 701 111 1234,John Doe
2024-11-13T13:30:19.777347 - ADD: Added: John Doe, 12345.12345
2024-11-13T13:30:19.790827 - DELETE: Deleted by phone number and person: 12345.12345,John Doe
2024-11-13T13:30:20.054012 - ADD: Added: John Doe, 011 1 703 111 1234
2024-11-13T13:30:20.068023 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,John Doe
2024-11-13T13:30:20.334369 - ADD: Added: John Doe, 22.22.22.22
2024-11-13T13:30:20.355485 - DELETE: Deleted by phone number and person: 22.22.22.22,John Doe
2024-11-13T13:30:20.654165 - ADD: Added: John Doe, 2222.2222
2024-11-13T13:30:20.668876 - DELETE: Deleted by phone number and person: 2222.2222,John Doe
2024-11-13T13:30:20.948151 - ADD: Added: John Doe, 111 111 1111
2024-11-13T13:30:20.961993 - DELETE: Deleted by phone number and person: 111 111 1111,John Doe
2024-11-13T13:30:21.245087 - ADD: Added: John Doe, (670)123-4567
2024-11-13T13:30:21.259079 - DELETE: Deleted by phone number and person: (670)123-4567,John Doe
2024-11-13T13:30:21.521237 - ADD: Added: John Doe, 670-123-4567
2024-11-13T13:30:21.534926 - DELETE: Deleted by phone number and person: 670-123-4567,John Doe
2024-11-13T13:30:21.811867 - ADD: Added: John Doe, 1-670-123-4567
2024-11-13T13:30:21.826825 - DELETE: Deleted by phone number and person: 1-670-123-4567,John Doe
2024-11-13T13:30:22.090263 - ADD: Added: John Doe, 1(670)123-4567
2024-11-13T13:30:22.106048 - DELETE: Deleted by phone number and person: 1(670)123-4567,John Doe
2024-11-13T13:30:22.370494 - ADD: Added: John Doe, 670 123 4567
2024-11-13T13:30:22.383703 - DELETE: Deleted by phone number and person: 670 123 4567,John Doe
2024-11-13T13:30:22.654996 - ADD: Added: John Doe, 670.123.4567
2024-11-13T13:30:22.668743 - DELETE: Deleted by phone number and person: 670.123.4567,John Doe
2024-11-13T13:30:22.929450 - ADD: Added: John Doe, 1 670 123 4567
2024-11-13T13:30:22.944702 - DELETE: Deleted by phone number and person: 1 670 123 4567,John Doe
2024-11-13T13:30:23.199067 - ADD: Added: John Doe, 1.670.123.4567
2024-11-13T13:30:23.213757 - DELETE: Deleted by phone number and person: 1.670.123.4567,John Doe
2024-11-13T13:38:40.453116 - ADD: Added: Bruce Schneier, +1(703)111-2121
2024-11-13T13:38:59.598863 - ADD: Added: Cher, +1(703)111-2121
2024-11-13T13:39:05.192277 - LIST: Listed phonebook entries
2024-11-13T13:45:22.289864 - LIST: Listed phonebook entries
2024-11-13T13:45:22.551883 - LIST: Listed phonebook entries
2024-11-13T13:45:23.046439 - ADD: Added: John Doe, 123-4567
2024-11-13T13:45:23.521956 - DELETE: Deleted by name: John Doe,123-4567
2024-11-13T13:45:24.008410 - ADD: Added: John Doe, 123-4567
2024-11-13T13:45:24.022530 - DELETE: Deleted by phone number and person: 123-4567,Bruce Schneier
2024-11-13T13:45:58.517258 - LIST: Listed phonebook entries
2024-11-13T13:45:58.750962 - LIST: Listed phonebook entries
2024-11-13T13:45:59.780994 - DELETE: Deleted by name: John Doe,123-4567
2024-11-13T13:46:00.314451 - ADD: Added: John Doe, 123-4567
2024-11-13T13:46:00.331682 - DELETE: Deleted by phone number and person: 123-4567,John Doe
2024-11-13T13:46:00.573810 - ADD: Added: Bruce Schneier, 12345
2024-11-13T13:46:00.820762 - ADD: Added: Bruce Schneier, (703)111-2121
2024-11-13T13:46:01.069013 - ADD: Added: Bruce Schneier, 123-1234
2024-11-13T13:46:01.283372 - Denied due to number: Denied these input: Bruce Schneier,  1(703)111-2121
2024-11-13T13:46:01.502096 - Denied due to number: Denied these input: Bruce Schneier,  32 (21) 212-2324
2024-11-13T13:46:01.760674 - ADD: Added: Bruce Schneier, 1(703)123-1234
2024-11-13T13:46:02.011965 - ADD: Added: Bruce Schneier, 011 701 111 1234
2024-11-13T13:46:02.253562 - ADD: Added: Bruce Schneier, 12345.12345
2024-11-13T13:46:02.483560 - ADD: Added: Bruce Schneier, 011 1 703 111 1234
2024-11-13T13:46:02.745217 - ADD: Added: Bruce Schneier, 22.22.22.22
2024-11-13T13:46:02.999909 - ADD: Added: Bruce Schneier, 2222.2222
2024-11-13T13:46:03.250109 - ADD: Added: Bruce Schneier, 111 111 1111
2024-11-13T13:46:03.500934 - ADD: Added: Bruce Schneier, (670)123-4567
2024-11-13T13:46:03.760430 - ADD: Added: Bruce Schneier, 670-123-4567
2024-11-13T13:46:03.991790 - ADD: Added: Bruce Schneier, 1-670-123-4567
2024-11-13T13:46:04.239408 - ADD: Added: Bruce Schneier, 1(670)123-4567
2024-11-13T13:46:04.470352 - ADD: Added: Bruce Schneier, 670 123 4567
2024-11-13T13:46:04.704423 - ADD: Added: Bruce Schneier, 670.123.4567
2024-11-13T13:46:04.948250 - ADD: Added: Bruce Schneier, 1 670 123 4567
2024-11-13T13:46:05.196560 - ADD: Added: Bruce Schneier, 1.670.123.4567
2024-11-13T13:46:05.441977 - ADD: Added: Schneier, Bruce, 12345
2024-11-13T13:46:05.671485 - ADD: Added: Schneier, Bruce, (703)111-2121
2024-11-13T13:46:05.916291 - ADD: Added: Schneier, Bruce, 123-1234
2024-11-13T13:46:06.146348 - Denied due to number: Denied these input: Schneier, Bruce,  1(703)111-2121
2024-11-13T13:46:06.376872 - Denied due to number: Denied these input: Schneier, Bruce,  32 (21) 212-2324
2024-11-13T13:46:06.639599 - ADD: Added: Schneier, Bruce, 1(703)123-1234
2024-11-13T13:46:06.889265 - ADD: Added: Schneier, Bruce, 011 701 111 1234
2024-11-13T13:46:07.148959 - ADD: Added: Schneier, Bruce, 12345.12345
2024-11-13T13:46:07.399865 - ADD: Added: Schneier, Bruce, 011 1 703 111 1234
2024-11-13T13:46:07.646723 - ADD: Added: Schneier, Bruce, 22.22.22.22
2024-11-13T13:46:07.890184 - ADD: Added: Schneier, Bruce, 2222.2222
2024-11-13T13:46:08.125011 - ADD: Added: Schneier, Bruce, 111 111 1111
2024-11-13T13:46:08.384681 - ADD: Added: Schneier, Bruce, (670)123-4567
2024-11-13T13:46:08.615662 - ADD: Added: Schneier, Bruce, 670-123-4567
2024-11-13T13:46:08.843863 - ADD: Added: Schneier, Bruce, 1-670-123-4567
2024-11-13T13:46:09.104555 - ADD: Added: Schneier, Bruce, 1(670)123-4567
2024-11-13T13:46:09.348981 - ADD: Added: Schneier, Bruce, 670 123 4567
2024-11-13T13:46:09.594300 - ADD: Added: Schneier, Bruce, 670.123.4567
2024-11-13T13:46:09.839551 - ADD: Added: Schneier, Bruce, 1 670 123 4567
2024-11-13T13:46:10.070912 - ADD: Added: Schneier, Bruce, 1.670.123.4567
2024-11-13T13:46:10.332657 - ADD: Added: Schneier, Bruce Wayne, 12345
2024-11-13T13:46:10.603579 - ADD: Added: Schneier, Bruce Wayne, (703)111-2121
2024-11-13T13:46:10.857672 - ADD: Added: Schneier, Bruce Wayne, 123-1234
2024-11-13T13:46:11.090871 - Denied due to number: Denied these input: Schneier, Bruce Wayne,  1(703)111-2121
2024-11-13T13:46:11.321272 - Denied due to number: Denied these input: Schneier, Bruce Wayne,  32 (21) 212-2324
2024-11-13T13:46:11.568077 - ADD: Added: Schneier, Bruce Wayne, 1(703)123-1234
2024-11-13T13:46:11.799883 - ADD: Added: Schneier, Bruce Wayne, 011 701 111 1234
2024-11-13T13:46:12.061263 - ADD: Added: Schneier, Bruce Wayne, 12345.12345
2024-11-13T13:46:12.306813 - ADD: Added: Schneier, Bruce Wayne, 011 1 703 111 1234
2024-11-13T13:46:12.553075 - ADD: Added: Schneier, Bruce Wayne, 22.22.22.22
2024-11-13T13:46:12.807205 - ADD: Added: Schneier, Bruce Wayne, 2222.2222
2024-11-13T13:46:13.060897 - ADD: Added: Schneier, Bruce Wayne, 111 111 1111
2024-11-13T13:46:13.305278 - ADD: Added: Schneier, Bruce Wayne, (670)123-4567
2024-11-13T13:46:13.550244 - ADD: Added: Schneier, Bruce Wayne, 670-123-4567
2024-11-13T13:46:13.797357 - ADD: Added: Schneier, Bruce Wayne, 1-670-123-4567
2024-11-13T13:46:14.049288 - ADD: Added: Schneier, Bruce Wayne, 1(670)123-4567
2024-11-13T13:46:14.294239 - ADD: Added: Schneier, Bruce Wayne, 670 123 4567
2024-11-13T13:46:14.541357 - ADD: Added: Schneier, Bruce Wayne, 670.123.4567
2024-11-13T13:46:14.775774 - ADD: Added: Schneier, Bruce Wayne, 1 670 123 4567
2024-11-13T13:46:15.051466 - ADD: Added: Schneier, Bruce Wayne, 1.670.123.4567
2024-11-13T13:46:15.301009 - ADD: Added: O’Malley, John F., 12345
2024-11-13T13:46:15.545520 - ADD: Added: O’Malley, John F., (703)111-2121
2024-11-13T13:46:15.775820 - ADD: Added: O’Malley, John F., 123-1234
2024-11-13T13:46:16.023214 - Denied due to number: Denied these input: O’Malley, John F.,  1(703)111-2121
2024-11-13T13:46:16.252779 - Denied due to number: Denied these input: O’Malley, John F.,  32 (21) 212-2324
2024-11-13T13:46:16.498778 - ADD: Added: O’Malley, John F., 1(703)123-1234
2024-11-13T13:46:16.745388 - ADD: Added: O’Malley, John F., 011 701 111 1234
2024-11-13T13:46:16.975678 - ADD: Added: O’Malley, John F., 12345.12345
2024-11-13T13:46:17.236345 - ADD: Added: O’Malley, John F., 011 1 703 111 1234
2024-11-13T13:46:17.484869 - ADD: Added: O’Malley, John F., 22.22.22.22
2024-11-13T13:46:17.715087 - ADD: Added: O’Malley, John F., 2222.2222
2024-11-13T13:46:17.996971 - ADD: Added: O’Malley, John F., 111 111 1111
2024-11-13T13:46:18.226414 - ADD: Added: O’Malley, John F., (670)123-4567
2024-11-13T13:46:18.461893 - ADD: Added: O’Malley, John F., 670-123-4567
2024-11-13T13:46:18.728791 - ADD: Added: O’Malley, John F., 1-670-123-4567
2024-11-13T13:46:18.983008 - ADD: Added: O’Malley, John F., 1(670)123-4567
2024-11-13T13:46:19.245215 - ADD: Added: O’Malley, John F., 670 123 4567
2024-11-13T13:46:19.494911 - ADD: Added: O’Malley, John F., 670.123.4567
2024-11-13T13:46:19.745130 - ADD: Added: O’Malley, John F., 1 670 123 4567
2024-11-13T13:46:19.988021 - ADD: Added: O’Malley, John F., 1.670.123.4567
2024-11-13T13:46:20.218588 - ADD: Added: John O’Malley-Smith, 12345
2024-11-13T13:46:20.479849 - ADD: Added: John O’Malley-Smith, (703)111-2121
2024-11-13T13:46:20.710022 - ADD: Added: John O’Malley-Smith, 123-1234
2024-11-13T13:46:20.939742 - Denied due to number: Denied these input: John O’Malley-Smith,  1(703)111-2121
2024-11-13T13:46:21.158275 - Denied due to number: Denied these input: John O’Malley-Smith,  32 (21) 212-2324
2024-11-13T13:46:21.418491 - ADD: Added: John O’Malley-Smith, 1(703)123-1234
2024-11-13T13:46:21.669232 - ADD: Added: John O’Malley-Smith, 011 701 111 1234
2024-11-13T13:46:21.911869 - ADD: Added: John O’Malley-Smith, 12345.12345
2024-11-13T13:46:22.162879 - ADD: Added: John O’Malley-Smith, 011 1 703 111 1234
2024-11-13T13:46:22.413519 - ADD: Added: John O’Malley-Smith, 22.22.22.22
2024-11-13T13:46:22.656446 - ADD: Added: John O’Malley-Smith, 2222.2222
2024-11-13T13:46:22.901422 - ADD: Added: John O’Malley-Smith, 111 111 1111
2024-11-13T13:46:23.147377 - ADD: Added: John O’Malley-Smith, (670)123-4567
2024-11-13T13:46:23.392127 - ADD: Added: John O’Malley-Smith, 670-123-4567
2024-11-13T13:46:23.652912 - ADD: Added: John O’Malley-Smith, 1-670-123-4567
2024-11-13T13:46:23.899717 - ADD: Added: John O’Malley-Smith, 1(670)123-4567
2024-11-13T13:46:24.144896 - ADD: Added: John O’Malley-Smith, 670 123 4567
2024-11-13T13:46:24.393063 - ADD: Added: John O’Malley-Smith, 670.123.4567
2024-11-13T13:46:24.669310 - ADD: Added: John O’Malley-Smith, 1 670 123 4567
2024-11-13T13:46:24.918715 - ADD: Added: John O’Malley-Smith, 1.670.123.4567
2024-11-13T13:46:25.168792 - ADD: Added: Cher, 12345
2024-11-13T13:46:25.431639 - ADD: Added: Cher, (703)111-2121
2024-11-13T13:46:25.681912 - ADD: Added: Cher, 123-1234
2024-11-13T13:46:25.900806 - Denied due to number: Denied these input: Cher,  1(703)111-2121
2024-11-13T13:46:26.126949 - Denied due to number: Denied these input: Cher,  32 (21) 212-2324
2024-11-13T13:46:26.412970 - ADD: Added: Cher, 1(703)123-1234
2024-11-13T13:46:26.673903 - ADD: Added: Cher, 011 701 111 1234
2024-11-13T13:46:26.927382 - ADD: Added: Cher, 12345.12345
2024-11-13T13:46:27.203328 - ADD: Added: Cher, 011 1 703 111 1234
2024-11-13T13:46:27.474727 - ADD: Added: Cher, 22.22.22.22
2024-11-13T13:46:27.723656 - ADD: Added: Cher, 2222.2222
2024-11-13T13:46:27.973817 - ADD: Added: Cher, 111 111 1111
2024-11-13T13:46:28.223776 - ADD: Added: Cher, (670)123-4567
2024-11-13T13:46:28.491565 - ADD: Added: Cher, 670-123-4567
2024-11-13T13:46:28.752844 - ADD: Added: Cher, 1-670-123-4567
2024-11-13T13:46:28.997828 - ADD: Added: Cher, 1(670)123-4567
2024-11-13T13:46:29.230429 - ADD: Added: Cher, 670 123 4567
2024-11-13T13:46:29.472550 - ADD: Added: Cher, 670.123.4567
2024-11-13T13:46:29.718995 - ADD: Added: Cher, 1 670 123 4567
2024-11-13T13:46:29.972436 - ADD: Added: Cher, 1.670.123.4567
2024-11-13T13:49:11.161945 - LIST: Listed phonebook entries
2024-11-13T13:49:11.407872 - LIST: Listed phonebook entries
2024-11-13T13:49:11.882204 - ADD: Added: John Doe, 123-4567
2024-11-13T13:49:12.360336 - DELETE: Deleted by name: John Doe,123-4567
2024-11-13T13:49:12.842009 - ADD: Added: John Doe, 123-4567
2024-11-13T13:49:12.842009 - DELETE: Deleted by phone number and person: 123-4567,John Doe
2024-11-13T13:49:13.091117 - Denied due to number: Denied these input: Schneier, Bruce,  32 (21) 212-2324
2024-11-13T13:49:58.108249 - ADD: Added: Schneier, Bruce, +32 (21) 212-2324
2024-11-13T13:50:59.650122 - LIST: Listed phonebook entries
2024-11-13T13:50:59.901352 - LIST: Listed phonebook entries
2024-11-13T13:51:00.461967 - ADD: Added: John Doe, 123-4567
2024-11-13T13:51:00.971537 - DELETE: Deleted by name: John Doe,123-4567
2024-11-13T13:51:01.470585 - ADD: Added: John Doe, 123-4567
2024-11-13T13:51:01.486639 - DELETE: Deleted by phone number and person: 123-4567,John Doe
2024-11-13T13:51:01.713163 - Denied due to number: Denied these input: Schneier, Bruce,  32 (21) 212-2324
